well,binning,celltype,channel.1,channel.2,magnification,marker.1,marker.2,media.overnight,media.starvation,microscope,rep,time.starvation,time.treatment,treatment,n,sum.area,mean.area,median.area,sd.area,mad.area,sum.totalIntensity.1,mean.totalIntensity.1,median.totalIntensity.1,sd.totalIntensity.1,mad.totalIntensity.1,sum.sdIntensity.1,mean.sdIntensity.1,median.sdIntensity.1,sd.sdIntensity.1,mad.sdIntensity.1,sum.totalIntensity.2,mean.totalIntensity.2,median.totalIntensity.2,sd.totalIntensity.2,mad.totalIntensity.2,sum.sdIntensity.2,mean.sdIntensity.2,median.sdIntensity.2,sd.sdIntensity.2,mad.sdIntensity.2,sum.denoisedTotalIntensity.1,mean.denoisedTotalIntensity.1,median.denoisedTotalIntensity.1,sd.denoisedTotalIntensity.1,mad.denoisedTotalIntensity.1,sum.denoisedTotalIntensityMult.1,mean.denoisedTotalIntensityMult.1,median.denoisedTotalIntensityMult.1,sd.denoisedTotalIntensityMult.1,mad.denoisedTotalIntensityMult.1,sum.denoisedTotalIntensity.2,mean.denoisedTotalIntensity.2,median.denoisedTotalIntensity.2,sd.denoisedTotalIntensity.2,mad.denoisedTotalIntensity.2,sum.denoisedTotalIntensityMult.2,mean.denoisedTotalIntensityMult.2,median.denoisedTotalIntensityMult.2,sd.denoisedTotalIntensityMult.2,mad.denoisedTotalIntensityMult.2,sum.denoisedNormalTotalIntensity.1,mean.denoisedNormalTotalIntensity.1,median.denoisedNormalTotalIntensity.1,sd.denoisedNormalTotalIntensity.1,mad.denoisedNormalTotalIntensity.1,sum.denoisedNormalTotalIntensityMult.1,mean.denoisedNormalTotalIntensityMult.1,median.denoisedNormalTotalIntensityMult.1,sd.denoisedNormalTotalIntensityMult.1,mad.denoisedNormalTotalIntensityMult.1,sum.denoisedNormalTotalIntensity.2,mean.denoisedNormalTotalIntensity.2,median.denoisedNormalTotalIntensity.2,sd.denoisedNormalTotalIntensity.2,mad.denoisedNormalTotalIntensity.2,sum.denoisedNormalTotalIntensityMult.2,mean.denoisedNormalTotalIntensityMult.2,median.denoisedNormalTotalIntensityMult.2,sd.denoisedNormalTotalIntensityMult.2,mad.denoisedNormalTotalIntensityMult.2
D5,2x2,HCEC,DAPI,FITC,10X,Hoechst,Smad23,RPMI+5%FBS,DMEM,nikon2,3,180,60,Wnt5A.CF,894,128988,144.281879194631,143,15.3985124004445,14.826,10039236,11229.5704697987,11187.5,858.23022610969,984.4464,14961.1388,16.7350545861298,16.07515,5.22416913315397,5.00918649,24126256,26986.8635346756,25549.5,7715.0989549747,6673.9239,28883.3618,32.3080109619687,29.5767,13.7357369847926,11.13365883,10001624.9101006,11187.4998994413,11187.4998994413,1.33914350872379e-12,0,10001624.9101006,11187.4998994413,11187.4998994413,6.26341814300258e-12,0,23693106.7906946,26502.3565891438,25032.648729248,7426.38962717429,6415.06063415696,24080085.6986713,26935.2189023169,25455.7782101456,7589.88593674822,6747.92090563577,9989108.74996643,11173.4997203204,11173.4997203204,0,0,9989108.74996643,11173.4997203204,11173.4997203204,6.40497557927046e-12,0,23663456.9366626,26469.1912043206,25001.3225554619,7417.09614910172,6407.0327459999,24049951.5743308,26901.5118281105,25423.9225267661,7580.38785732234,6739.47647191761
D6,2x2,HCEC,DAPI,FITC,10X,Hoechst,Smad23,RPMI+5%FBS,DMEM,nikon2,3,180,60,Wnt3A,689,98127,142.419448476052,141,15.1209166787932,14.826,7829483,11363.5457184325,11349,892.423433959161,922.1772,11894.8406,17.2639195936139,16.6327,5.36609302256673,5.39992572,30278941,43946.2133526851,41953,13603.631798208,12418.2576,48872.7257,70.9328384615385,67.4559,25.9914504628705,23.74710072,7819461,11349,11349,1.1095731339636e-12,0,7819461,11349,11349,6.4460374038603e-12,0,30219881.9621343,43860.4963165955,41775.6232847775,13483.2718394864,12228.9258780384,30404634.89005,44128.6428012336,41783.7593414082,13812.5196116629,12462.5230652931,7698541.30730075,11173.4997203204,11173.4997203204,0,0,7698541.30730075,11173.4997203204,11173.4997203204,6.63428242473846e-12,0,29752563.4551082,43182.240138038,41129.6074622144,13274.7673035074,12039.8184754675,29934459.374431,43446.2400209448,41137.6177033359,13598.9236071755,12269.8033293276
E2,2x2,HCEC,DAPI,FITC,10X,Hoechst,Smad23,RPMI+5%FBS,DMEM,nikon2,1,180,60,Wnt5A.M,597,83225,139.405360134003,138,16.3609610061958,14.826,6508684,10902.3182579564,10787,834.509420178964,778.365,9650.6238,16.1651989949749,15.4231,5.26870019761815,4.84187508,12675016,21231.1825795645,20341,5984.42841028421,5546.4066,14325.5976,23.995975879397,21.0324,11.7738110414421,8.4308049,6439839,10787,10787,5.96069672988262e-13,0,6439839,10787,10787,5.97279212318243e-12,0,12599854.5927945,21105.2840750326,20177.3727109439,5901.47044368078,5292.3904022463,12577211.8922914,21067.3566035031,20179.1973660884,5992.49232470398,5455.84740608284,6670579.33303128,11173.4997203204,11173.4997203204,0,0,6670579.33303128,11173.4997203204,11173.4997203204,5.94297456596389e-12,0,13051309.1469979,21861.4893584555,20900.3308002718,6112.92095596053,5482.01749136232,13027855.1553655,21822.2029403108,20902.2208330656,6207.20416372504,5651.33118253244
E3,2x2,HCEC,DAPI,FITC,10X,Hoechst,Smad23,RPMI+5%FBS,DMEM,nikon2,1,180,60,Wnt5A,874,131491,150.447368421053,150,15.0833529436325,14.826,9721606,11123.118993135,11086,884.099917399518,965.1726,14525.6746,16.6197649885584,16.11865,4.81387956355649,4.9526253,35282130,40368.5697940503,38900.5,11846.8273120318,11037.957,53872.5878,61.6391164759725,58.0043,21.9705378316557,19.46416584,9689163.36929459,11085.9992783691,11085.9992783691,9.23451957654487e-13,0,9689163.36929459,11085.9992783691,11085.9992783691,5.92514358686676e-12,0,35401895.988277,40505.6018172506,38989.364996901,11813.0361813356,11370.461430566,35352896.7246424,40449.5385865474,38799.4125450977,12098.9424610242,11274.5355669369,9765638.75556003,11173.4997203204,11173.4997203204,0,0,9765638.75556003,11173.4997203204,11173.4997203204,6.30897859915822e-12,0,35681318.841112,40825.3075985263,39297.103305642,11906.2750370038,11460.2070976351,35631932.832258,40768.8018675721,39105.6515822741,12194.4379401326,11363.5241028488
E4,2x2,HCEC,DAPI,FITC,10X,Hoechst,Smad23,RPMI+5%FBS,DMEM,nikon2,1,180,60,ctrl,945,131667,139.330158730159,138,14.9720428192817,14.826,10638897,11258.0920634921,11185,776.895149349725,776.8824,15136.2261,16.0171704761905,15.256,5.57879952810971,5.0919897,20112251,21282.8052910053,20178,6095.50511040974,5432.2464,21895.8378,23.1701987301587,20.8585,10.4456607798547,8.26356762,10569825,11185,11185,4.73624499066587e-13,0,10569825,11185,11185,5.98390395279524e-12,0,19774703.880661,20925.612572128,19754.3279069437,5922.1310100669,5131.96986384333,20026499.6847441,21192.0631584593,20089.9909234267,6036.70242502403,5226.54345024507,10558957.2357028,11173.4997203204,11173.4997203204,0,0,10558957.2357028,11173.4997203204,11173.4997203204,6.03522882524745e-12,0,19754371.7729087,20904.0971141891,19734.0167495175,5916.04194766949,5126.69323543551,20005908.6836374,21170.2737392988,20069.3346414079,6030.49556170437,5221.16958243681
E5,2x2,HCEC,DAPI,FITC,10X,Hoechst,Smad23,RPMI+5%FBS,DMEM,nikon2,1,180,60,TGFB1+aTGFB,863,121403,140.675550405562,141,14.0952656198015,13.3434,9830647,11391.24797219,11357,813.475245819704,840.6342,14026.0099,16.2526186558517,15.2397,5.75924844280895,5.49837036,17891318,20731.5388180765,19448,6552.56366864238,5168.3436,18520.6951,21.4608286210892,19.0325,10.3518694675842,7.42990164,9801091.00000001,11357,11357,9.91280399161291e-13,0,9801091,11357,11357,6.06716547202141e-12,0,17491636.7325073,20268.408728282,19046.6997897012,6255.02783763742,5214.62472384339,17859914.3263323,20695.1498567002,19572.5530810744,6373.31189858436,5386.31580621987,9642730.2586365,11173.4997203204,11173.4997203204,0,0,9642730.2586365,11173.4997203204,11173.4997203204,6.13792656489520e-12,0,17209016.3017185,19940.9227134629,18738.9534888838,6153.96247199418,5130.36963048692,17571343.4648428,20360.7687889256,19256.3103264366,6270.33536289046,5299.28662096989
E6,2x2,HCEC,DAPI,FITC,10X,Hoechst,Smad23,RPMI+5%FBS,DMEM,nikon2,1,180,60,Wnt3A+aTGFB,712,98722,138.654494382022,138,13.434479519841,13.3434,8162916,11464.7696629213,11402.5,783.919389553203,778.365,12228.2383,17.174491994382,16.3885,5.45891543514379,5.55848979,14917881,20952.0800561798,19642.5,6142.54778208403,5106.8157,16299.1482,22.8920620786517,20.09295,10.6947232786534,8.37313176,8118579.99219469,11402.4999890375,11402.4999890375,1.09147891724911e-12,0,8118579.99219469,11402.4999890375,11402.4999890375,6.15735547489935e-12,0,14539724.8210578,20420.9618273284,19299.1740402703,5953.20544243557,5039.65632297782,14864543.1247419,20877.1673100308,19776.2708311416,6147.23208623828,5092.24850289637,7955531.80086812,11173.4997203204,11173.4997203204,0,0,7955531.80086812,11173.4997203204,11173.4997203204,6.3361473404208e-12,0,14247718.6036234,20010.8407354261,18911.5821923871,5833.64520149222,4938.44319837241,14566013.4713155,20457.8840889262,19379.0972868393,6023.77514250065,4989.9791517314
F2,2x2,HCEC,DAPI,FITC,10X,Hoechst,Smad23,RPMI+5%FBS,DMEM,nikon2,2,180,60,Wnt5A.M,540,73183,135.524074074074,135,14.1374571244713,13.3434,5857061,10846.4092592593,10703,895.447590273766,843.5994,8623.1637,15.9688216666667,15.231,5.60070175782176,5.35203774,11406896,21123.8814814815,19870.5,6369.67543937648,5443.3659,12770.2477,23.6486068518519,20.5547,12.0143948194132,8.3166447,5779619.77296085,10702.9995795571,10702.9995795571,5.48445940835815e-13,0,5779619.77296085,10702.9995795571,10702.9995795571,5.93234988451087e-12,0,11182302.4593818,20707.9675173736,19503.9867753128,6213.84705073955,5068.43040144217,11306521.0550336,20938.001953766,19869.9784847709,6381.68796796068,5546.07940578268,6033689.84897301,11173.4997203204,11173.4997203204,7.83494201194022e-14,0,6033689.84897301,11173.4997203204,11173.4997203204,6.3766994548356e-12,0,11673872.5881189,21618.2825705906,20361.3752536565,6487.00560692958,5291.2368399178,11803551.7900527,21858.4292408383,20743.4558314303,6662.22475252411,5789.88312844087
F3,2x2,HCEC,DAPI,FITC,10X,Hoechst,Smad23,RPMI+5%FBS,DMEM,nikon2,2,180,60,Wnt5A,983,139529,141.942014242116,140,15.5060494998387,16.3086,10976850,11166.6836215666,11143,774.687275849319,756.126,16159.046,16.438500508647,15.588,5.32642673752428,5.34195606,38406779,39070.985757884,36880,11872.0726804951,10857.0798,59073.1443,60.0947551373347,56.6316,22.7590853005146,21.3212706,10953569,11143,11143,8.70694265730803e-13,0,10953569,11143,11143,6.26012424953126e-12,0,37760087.0626765,38413.1099315122,36429.2605051209,11336.7651672902,10345.6720080962,38351873.196198,39015.1304132228,36895.7551455907,11523.8047510057,10466.756285326,10983550.2250749,11173.4997203204,11173.4997203204,0,0,10983550.2250749,11173.4997203204,11173.4997203204,6.32038480821744e-12,0,37863440.9256116,38518.2511959426,36528.971737005,11367.795245989,10373.9893465844,38456846.8483785,39121.9194795305,36996.743228957,11555.3467793583,10495.4050459258
F4,2x2,HCEC,DAPI,FITC,10X,Hoechst,Smad23,RPMI+5%FBS,DMEM,nikon2,2,180,60,ctrl,869,119534,137.553509781358,137,13.5345930652324,13.3434,9654509,11109.9067894131,11022,838.934102261746,839.1516,13856.6889,15.9455568469505,15.1365,5.22022906760224,4.73601744,18904148,21753.9102416571,20522,6512.55679075151,5415.9378,20774.6045,23.90633429229,21.2533,10.9901944154557,7.84947744,9578118,11022,11022,4.93924186813915e-13,0,9578118,11022,11022,6.03416891719383e-12,0,18523649.0786946,21316.051874217,20132.1430322721,6223.07571706118,5320.49983835234,18774677.1773256,21604.921953194,20439.2665136275,6317.4588747096,5221.73322428236,9709771.25695842,11173.4997203204,11173.4997203204,0,0,9709771.25695842,11173.4997203204,11173.4997203204,6.05435014048147e-12,0,18778260.5516338,21609.0455139629,20408.8635946782,6308.6132085026,5393.63123351429,19032739.0845539,21901.8861732496,20720.2085532181,6404.29368260781,5293.50705145225
