well,frame,cellID,x,y,r,area,totalIntensity.1,sdIntensity.1,totalIntensity.2,sdIntensity.2,denoisedTotalIntensity.1,denoisedTotalIntensityMult.1,denoisedTotalIntensity.2,denoisedTotalIntensityMult.2,denoisedNormalTotalIntensity.1,denoisedNormalTotalIntensityMult.1,denoisedNormalTotalIntensity.2,denoisedNormalTotalIntensityMult.2
B3,1,32,158.1926,403.4222,500.7912,135,11319,17.8124,41010,70.0214,10961.4997149113,10961.4997149113,40441.6667302623,39539.3397454643,11173.4997203204,11173.4997203204,41223.8255395999,40304.0471721779
B3,1,34,163.855,218.2748,574.6488,131,12111,26.7105,41584,112.9314,10961.4997149113,10961.4997149113,40554.467567107,37147.8436404982,11173.4997203204,11173.4997203204,41338.8079919756,37866.2985287477
B3,1,36,166.8058,236.8993,561.9456,139,12787,23.7272,69043,103.6296,10961.4997149113,10961.4997149113,66735.3059526554,57582.5734289184,11173.4997203204,11173.4997203204,68025.9947809091,58696.2445684428
B3,1,37,168.5811,882.0135,582.4166,148,11047,13.3192,48711,63.2975,10961.4997149113,10961.4997149113,48228.3392706864,48274.1777003154,11173.4997203204,11173.4997203204,49161.0955952931,49207.8205593911
B3,1,41,189.1544,260.1765,530.6251,136,11251,18.5122,30161,50.6722,10961.4997149113,10961.4997149113,29772.4837598688,29304.0617889676,11173.4997203204,11173.4997203204,30348.2960923317,29870.8146439003
B3,1,42,192.5124,348.2645,486.8343,121,11291,26.7912,28230,64.5799,10961.4997149113,10961.4997149113,27850.1104605046,27326.5846943149,11173.4997203204,11173.4997203204,28388.7432864709,27855.0923122211
B3,1,43,202.6515,106.7121,615.6396,132,12426,24.3971,35924,59.7031,10961.4997149113,10961.4997149113,34887.0762646216,31245.7205370165,11173.4997203204,11173.4997203204,35561.8069628988,31850.0258871182
B3,1,44,209.3662,62.3169,643.1381,142,12198,18.6061,36267,44.8428,10961.4997149113,10961.4997149113,35327.5255084789,32189.7312359308,11173.4997203204,11173.4997203204,36010.7746800042,32812.2941491836
B3,1,45,212.4286,603.8714,432.3157,140,11654,19.2166,48198,98.7523,10961.4997149113,10961.4997149113,47302.780718595,44914.8710444535,11173.4997203204,11173.4997203204,48217.6363523152,45783.543502787
B3,1,47,239.2727,431.7972,415.0785,143,10643,12.0249,43410,52.252,10961.4997149113,10961.4997149113,43243.81831933,44909.3893466762,11173.4997203204,11173.4997203204,44080.1719165606,45777.9557866738
B3,1,50,242.0993,55.2553,627.1382,141,12212,20.2201,39704,75.3843,10961.4997149113,10961.4997149113,38668.2023329925,35159.2073166694,11173.4997203204,11173.4997203204,39416.0615965022,35839.2011437161
B3,1,52,250.7895,682.0226,414.313,133,12668,25.3172,53418,131.0397,10961.4997149113,10961.4997149113,51711.9513068244,45214.4452126778,11173.4997203204,11173.4997203204,52712.0821504032,46088.9115611665
B3,1,53,253.8056,111.4028,576.9244,144,11201,15.3264,34831,52.4598,10961.4997149113,10961.4997149113,34407.5025799057,33996.7142461964,11173.4997203204,11173.4997203204,35072.9581218268,34654.2249693214
B3,1,55,259.4733,600.6641,385.332,131,11099,18.9034,40634,65.2556,10961.4997149113,10961.4997149113,40200.3355083039,40060.9660906396,11173.4997203204,11173.4997203204,40977.8268705137,40835.7619898136
B3,1,61,283.5338,191.8496,498.2738,133,11221,21.6765,54585,125.5263,10961.4997149113,10961.4997149113,53905.515251466,53111.422310243,11173.4997203204,11173.4997203204,54948.0705424493,54138.6195104346
B3,1,62,289.6486,152.9122,522.0949,148,10925,12.8556,51645,70.9308,10961.4997149113,10961.4997149113,51226.6688662259,51846.4214760297,11173.4997203204,11173.4997203204,52217.4141437136,52849.1530291228
