#wells,B4
#channel,3
#pathname,Z:/DATA/201112/20111205/201112051201_HCEC+LRHCL+TapYFP_Hoechst_subtracted/B4
#halo_size,8
#nuclear_channel,1
#segment_params.inequalities,Area<3000 Area>200 Solidity>.90 
#segment_params.threshold,800
mad_nucleus,median_nucleus,mean_nucleus,std_nucleus,max_nucleus,sum_nucleus,length_nucleus,mad_halo,median_halo,mean_halo,std_halo,max_halo,sum_halo,length_halo
320.32,4799.5,4795,382.5,5546,2.6756e+006,558,737.39,3504,3288.7,947.74,4966,2.5915e+006,788
1896.4,7013,6769.1,2236.9,10169,2.6467e+006,391,1095.2,1153.5,1573.3,1357.4,6115,1.0887e+006,692
736.01,4698,5044.7,902.06,8032,5.7055e+006,1131,653.3,4272.5,4332.5,813.8,6752,4.5924e+006,1060
83.118,475,458.07,102.81,683,2.3362e+005,510,299.25,234.5,408.73,523.71,3728,3.2535e+005,796
576.32,4047,3798.3,748.51,4845,1.8498e+006,487,1219.1,1330,1754,1370.3,4393,1.3524e+006,771
377.32,6536,6437.6,484.83,7215,2.6587e+006,413,1769.6,3096,3046.7,1974.7,6655,2.2546e+006,740
329.3,2863,2782.7,400.66,3414,1.3274e+006,477,837.09,1963,1847,934.84,3299,1.4037e+006,760
120.94,1635,1614.2,150.83,1933,8.1196e+005,503,348.12,1182.5,1120.1,414.5,1800,8.7819e+005,784
288.25,2912,2931.9,339.28,3630,1.7093e+006,583,658.21,2380,2184,832.65,3717,1.804e+006,826
400.93,3348,3309.8,484.39,4343,2.2407e+006,677,678.63,2320,2487.3,861.91,4368,2.1316e+006,857
289.47,3595.5,3539.5,352.38,4137,1.3733e+006,388,956.64,2039.5,1934,1089.9,3800,1.4234e+006,736
314.57,3685,3659.2,393.89,4666,3.2969e+006,901,634.7,2614.5,2458.5,830.58,4068,2.4535e+006,998
416.84,3041,2848.8,550.18,3571,1.2962e+006,455,957.71,1904,1678.4,1038.7,3214,1.2722e+006,758
44.584,404.5,403.1,58.677,649,2.209e+005,548,82.756,330,325.23,101.71,679,2.6279e+005,808
93.051,1344,1336.8,116.52,1620,6.8709e+005,514,246.47,1040,1006.7,303.56,1539,7.8324e+005,778
1297.6,6134,5672.2,1507.5,7555,1.7584e+006,310,1462.5,1124.5,1893,1855.9,7077,1.2229e+006,646
563.98,5207,4944.2,820.64,5957,2.1557e+006,436,1515,4155,3321.6,1747.4,5326,2.4613e+006,741
